STATE_CODE,STATE_NAME,LGA_CODE,LGA_NAME
10,KANO,211,KANO MUNICIPAL
10,KANO,212,TARAUNI
10,KANO,213,KUMBOTSO
10,KANO,214,GEZAWA
10,KANO,215,WARAWA
10,KANO,216,AJINGI
10,KANO,217,GAYA
10,KANO,218,WUDIL
10,KANO,219,DAWAKI KUDU
10,KANO,220,MADOBI
10,KANO,221,RIMIN GADO
10,KANO,222,KABO
10,KANO,223,GWARZO
10,KANO,224,KARAYE
10,KANO,225,ROGO
10,KANO,226,KIRU
10,KANO,227,BEBEJI
10,KANO,228,GARUN MALAM
10,KANO,229,KURA
10,KANO,230,BUNKURE
10,KANO,231,RANO
10,KANO,232,KIBIYA
10,KANO,233,GARKO
10,KANO,234,ALBASU
10,KANO,235,TAKAI
10,KANO,236,SUMAILA
10,KANO,237,TUDUN WADA
10,KANO,238,DOGUWA
11,KADUNA,239,BIRNIN GWARI
11,KADUNA,240,GIWA
11,KADUNA,241,SABON GARI
11,KADUNA,242,KUDAN
11,KADUNA,243,MAKARFI
11,KADUNA,244,IKARA
11,KADUNA,245,KUBAU
11,KADUNA,246,SOBA
11,KADUNA,247,ZARIA
11,KADUNA,248,IGABI
11,KADUNA,249,KADUNA NORTH
11,KADUNA,250,KADUNA SOUTH
11,KADUNA,251,CHIKUN
11,KADUNA,252,KAJURU
11,KADUNA,253,KAURU
11,KADUNA,254,LERE
11,KADUNA,255,ZANGON KATAF 
11,KADUNA,256,KACHIA
11,KADUNA,257,KAGARKO
11,KADUNA,258,JABA
11,KADUNA,259,JEMAA
11,KADUNA,260,KAURA
11,KADUNA,261,SANGA
12,KEBBI,262,AREWA 
12,KEBBI,263,AUGIE
12,KEBBI,264,ARGUNGU
12,KEBBI,265,GWANDU
12,KEBBI,266,BIRNIN KEBBI
12,KEBBI,267,ALIERO
12,KEBBI,268,JEGA
12,KEBBI,269,MAIYAMA
12,KEBBI,270,KALGO
12,KEBBI,271,BUNZA
12,KEBBI,272,SURU
12,KEBBI,273,DANDI
12,KEBBI,274,BAGUDO
12,KEBBI,275,KOKOBESSE
12,KEBBI,276,YAURI
12,KEBBI,277,NGASKI
12,KEBBI,278,SHANGA
12,KEBBI,279,FAKAI
12,KEBBI,280,ZURU
12,KEBBI,281,DANKO_WASAGU
12,KEBBI,282,SAKABA
13,NIGER,283,AGWARA
13,NIGER,284,BORGU
13,NIGER,285,MASHEGU
13,NIGER,286,MAGAMA
13,NIGER,287,RIJAU
13,NIGER,288,KONTAGORA
13,NIGER,289,MARIGA
13,NIGER,290,RAFI
13,NIGER,291,SHIRORO
13,NIGER,292,MUNYA
13,NIGER,293,CHANCHAGA
13,NIGER,294,BOSSO
13,NIGER,295,WUSHISHI
13,NIGER,296,LAVUN
13,NIGER,297,MOKWA
13,NIGER,298,EDATTI
13,NIGER,299,GBAKO
13,NIGER,300,BIDA
13,NIGER,301,KATCHA
13,NIGER,302,AGAIE
13,NIGER,303,LAPAI
13,NIGER,304,PAIKORO
13,NIGER,305,GURARA
13,NIGER,306,SULEJA
13,NIGER,307,TAFA
14,FCT,308,BWARI
14,FCT,309,AMAC
14,FCT,310,GWAGWALADA
14,FCT,311,ABAJI
14,FCT,312,KWALI
14,FCT,313,KUJE
15,NASARAWA,314,KARU
15,NASARAWA,315,KEFFI
15,NASARAWA,316,KOKONA
15,NASARAWA,317,AKWANGA
15,NASARAWA,318,WAMBA
15,NASARAWA,319,NASSARAWA EGGON
15,NASARAWA,320,LAFIA
15,NASARAWA,321,AWE
15,NASARAWA,322,OBI
15,NASARAWA,323,KEANA
15,NASARAWA,324,DOMA
15,NASARAWA,325,NASARAWA
15,NASARAWA,326,TOTO
16,PLATEAU,327,BASSA
16,PLATEAU,328,JOS NORTH
16,PLATEAU,329,JOS EAST
16,PLATEAU,330,JOS SOUTH
16,PLATEAU,331,RIYOM
16,PLATEAU,332,BARKIN LADI
16,PLATEAU,333,MANGU
16,PLATEAU,334,BOKKOS
16,PLATEAU,335,QUA AN PAN
16,PLATEAU,336,PANKSHIN
16,PLATEAU,337,KANKE
16,PLATEAU,338,KANAM
16,PLATEAU,339,WASE
16,PLATEAU,340,LANGTANG NORTH
16,PLATEAU,341,MIKANG
16,PLATEAU,342,SHENDAM
16,PLATEAU,343,LANTANG SOUTH
17,TARABA,344,KARIM LAMIDO
17,TARABA,345,LAU
17,TARABA,346,ARDO-KOLA
17,TARABA,347,JALINGO
